PGA_scaffold171564__1_contigs__length_6010:2907-4279	sp	Q7Z020	TRPA1_DROME	74.419	43	11	0	1154	1282	912	954	7.23e-11	68.6
PGA_scaffold19103__1_contigs__length_6100:3445-5297	sp	C1DFA8	ALLA_AZOVD	36.364	77	47	1	303	79	70	146	2.50e-09	60.1
PGA_scaffold43528__1_contigs__length_13364:6365-6803	sp	Q3T0G1	THAP1_BOVIN	36.735	98	39	4	372	82	5	80	1.57e-07	52.0
PGA_scaffold229666__1_contigs__length_7299:3951-5004	sp	P08361	POL_MLVCB	36.620	142	86	3	1	423	20	158	2.71e-15	78.6
PGA_scaffold229666__1_contigs__length_7299:3498-3831	sp	Q7LHG5	YI31B_YEAST	30.588	85	48	2	73	318	1096	1172	6.50e-06	47.0
PGA_scaffold298042__1_contigs__length_6832:1627-3421	sp	Q80UU1	ANKZ1_MOUSE	39.655	58	35	0	1794	1621	319	376	6.13e-07	56.2
PGA_scaffold67388__1_contigs__length_14239:12186-13451	sp	Q96MM6	HS12B_HUMAN	45.946	74	38	2	1029	1247	323	395	1.73e-07	57.4
PGA_scaffold64348__1_contigs__length_27043:7957-9338	sp	A0QV10	Y2408_MYCS2	50.000	46	21	1	1250	1381	50	95	5.86e-06	51.6
PGA_scaffold64348__1_contigs__length_27043:11010-12343	sp	Q09632	YOF5_CAEEL	42.667	75	43	0	44	268	138	212	1.57e-14	77.8
PGA_scaffold64348__1_contigs__length_27043:235-1681	sp	Q09632	YOF5_CAEEL	41.333	75	44	0	1412	1188	138	212	4.82e-14	76.6
PGA_scaffold36523__1_contigs__length_1701:10-1389	sp	Q40375	PRP2_MEDTR	29.341	334	236	0	1375	374	35	368	1.95e-42	157
PGA_scaffold36523__1_contigs__length_1701:370-1420	sp	Q40375	PRP2_MEDTR	29.619	341	240	0	1042	20	26	366	4.60e-41	150
PGA_scaffold112689__1_contigs__length_1517:617-1058	sp	P07476	INVO_HUMAN	20.536	112	85	2	63	392	150	259	1.59e-06	49.7
PGA_scaffold11301__1_contigs__length_4567:58-1249	sp	Q14517	FAT1_HUMAN	36.134	357	214	8	1071	28	3070	3421	3.35e-29	124
PGA_scaffold19142__1_contigs__length_8115:808-3767	sp	Q7SIG4	DFPA_LOLVU	56.164	73	32	0	237	19	150	222	1.17e-20	97.4
PGA_scaffold300413__1_contigs__length_1662:611-1661	sp	Q9VCA8	ANKHM_DROME	31.902	163	105	2	568	1050	585	743	5.47e-17	86.3
PGA_scaffold269337__1_contigs__length_3616:3056-3305	sp	Q8BI21	RNF38_MOUSE	40.541	74	42	1	249	28	427	498	1.21e-16	75.9
PGA_scaffold88587__1_contigs__length_10557:2949-10123	sp	O54981	STIP1_CRIGR	72.414	58	16	0	2551	2378	374	431	2.66e-18	95.1
PGA_scaffold220796__1_contigs__length_1585:1395-1581	sp	P10419	FMR1_ANTEL	41.667	60	35	0	1	180	218	277	1.20e-07	49.3
PGA_scaffold62307__1_contigs__length_6904:12-6249	sp	Q494W8	CRFM7_HUMAN	52.703	74	35	0	267	46	132	205	5.67e-07	58.2
PGA_scaffold19807__1_contigs__length_6888:558-6618	sp	Q15485	FCN2_HUMAN	37.634	93	51	3	1120	848	203	290	5.35e-07	57.4
PGA_scaffold236__1_contigs__length_16003:12633-12765	sp	Q980M1	PAN_SULSO	51.163	43	21	0	130	2	302	344	1.24e-08	51.2
PGA_scaffold44984__1_contigs__length_3030:724-1357	sp	Q5VV17	OTUD1_HUMAN	31.707	123	82	2	7	372	287	408	1.68e-14	74.7
PGA_scaffold140136__1_contigs__length_2567:579-2538	sp	Q0IHU5	ISOC1_XENTR	68.889	45	14	0	1959	1825	216	260	8.49e-13	73.2
PGA_scaffold50633__1_contigs__length_16466:12068-12761	sp	O92815	POL_WDSV	32.174	115	68	3	687	355	856	964	6.83e-09	59.3
PGA_scaffold109912__1_contigs__length_5646:140-3430	sp	Q6DHE8	RHOAD_DANRE	98.630	73	1	0	219	1	52	124	1.27e-42	157
PGA_scaffold164821__1_contigs__length_4373:3679-4335	sp	P15305	DYHC_ONCMY	32.877	219	109	6	5	646	249	434	1.13e-08	58.2
PGA_scaffold136693__1_contigs__length_6524:88-415	sp	A8WFT6	HYKK_DANRE	38.679	106	62	2	4	318	250	353	9.28e-16	74.3
PGA_scaffold63088__1_contigs__length_8362:6600-7584	sp	Q54KZ0	TM2D3_DICDI	47.826	69	32	2	40	237	9	76	4.58e-08	54.7
PGA_scaffold63088__1_contigs__length_8362:2735-3008	sp	Q54KZ0	TM2D3_DICDI	46.667	60	32	0	7	186	9	68	2.90e-09	53.5
PGA_scaffold307522__1_contigs__length_17514:1319-12397	sp	O94761	RECQ4_HUMAN	38.318	107	61	3	10031	10345	717	820	1.04e-10	72.0
PGA_scaffold99745__1_contigs__length_6549:417-1468	sp	Q9CZJ2	HS12B_MOUSE	34.815	135	77	4	423	31	96	223	6.40e-11	67.4
PGA_scaffold168397__1_contigs__length_1251:115-625	sp	Q59X49	DDR48_CANAL	28.378	148	89	6	424	17	59	201	3.04e-06	48.9
PGA_scaffold245330__1_contigs__length_2107:364-1259	sp	Q5R573	RBL2A_PONAB	71.053	38	11	0	16	129	100	137	8.41e-11	64.3
PGA_scaffold279981__1_contigs__length_13356:8152-11864	sp	Q9Y6R7	FCGBP_HUMAN	23.720	371	247	11	3565	2510	77	430	1.20e-13	80.5
PGA_scaffold251__1_contigs__length_16597:7458-10054	sp	Q95SX7	RTBS_DROME	35.714	70	43	2	2094	1888	437	505	7.94e-07	37.4
PGA_scaffold731__1_contigs__length_15135:11588-12824	sp	P26810	POL_MLVF5	28.519	270	173	9	1	798	939	1192	1.25e-17	89.0
PGA_scaffold175869__1_contigs__length_9556:856-3406	sp	Q02108	GCYA3_HUMAN	78.846	52	11	0	159	4	573	624	1.15e-17	91.7
PGA_scaffold43078__1_contigs__length_10604:2889-7745	sp	P60517	GBRAP_RAT	95.455	66	3	0	2279	2476	31	96	7.41e-35	132
PGA_scaffold117779__1_contigs__length_8107:1674-2673	sp	Q6ZNG9	KRBA2_HUMAN	45.000	120	66	0	999	640	316	435	4.49e-29	120
PGA_scaffold247038__1_contigs__length_6153:1393-3919	sp	Q9BXJ3	C1QT4_HUMAN	31.250	128	72	5	675	307	197	313	1.37e-07	58.2
PGA_scaffold285542__1_contigs__length_2015:37-1648	sp	B3EWZ8	ECT_ACRMI	52.727	55	26	0	222	58	106	160	7.72e-10	64.7
