"chr"	"start"	"end"	"strand"	"pvalue"	"qvalue"	"meth.diff"
"18"	"NC_035780.1"	100582	100582	"+"	2.1729745058906e-15	7.83342999106701e-14	-31.4223826714801
"37"	"NC_035780.1"	255978	255978	"+"	1.53977174816121e-21	1.09686262331992e-19	-31.4759396309343
"50"	"NC_035780.1"	256446	256446	"+"	2.24990748498479e-19	1.27105884583832e-17	-36.4158629574179
"75"	"NC_035780.1"	258270	258270	"+"	2.4138550238107e-10	4.31185387123405e-09	-35.1724137931035
"76"	"NC_035780.1"	258279	258279	"+"	1.00279219155066e-07	1.13919861477388e-06	-25.4744069912609
"118"	"NC_035780.1"	260478	260478	"+"	1.82925670953756e-06	1.59633256142566e-05	27.4020947176685
"140"	"NC_035780.1"	262055	262055	"+"	1.47431581748986e-35	3.60974751712847e-33	37.0903189594163
"152"	"NC_035780.1"	262420	262420	"+"	1.09349784008936e-07	1.23390144765192e-06	30.2356455360106
"171"	"NC_035780.1"	265028	265028	"+"	6.61916940933369e-20	3.94707206387852e-18	30.4409120627656
"184"	"NC_035780.1"	265335	265335	"+"	1.80247482181912e-44	8.37481650784749e-42	26.9693029120858
"226"	"NC_035780.1"	269427	269427	"+"	2.49816196346054e-27	3.0410154043592e-25	-28.3820133312339
"315"	"NC_035780.1"	274851	274851	"+"	7.58086579894955e-06	5.72972340665691e-05	27.6629935720845
"420"	"NC_035780.1"	293158	293158	"+"	7.83649179209822e-47	4.36144117043884e-44	32.0037523452158
"514"	"NC_035780.1"	307074	307074	"+"	4.69537022481445e-29	6.64755810101786e-27	29.324178675502
"613"	"NC_035780.1"	346072	346072	"+"	3.53374421187814e-31	6.13364667888754e-29	48.202576564067
"647"	"NC_035780.1"	355776	355776	"+"	3.19135162470211e-16	1.26519014546401e-14	-26.9252271139064
"649"	"NC_035780.1"	356133	356133	"+"	9.47682527516079e-11	1.81189829604184e-09	-39.317106152806
"654"	"NC_035780.1"	356463	356463	"+"	6.50527503942063e-10	1.0846940372841e-08	25.3253631961259
"667"	"NC_035780.1"	394685	394685	"+"	5.22827772168072e-08	6.27233904902198e-07	-27.7183305754734
"674"	"NC_035780.1"	394855	394855	"+"	3.75836946537118e-09	5.53906227843022e-08	29.0302725085334
"703"	"NC_035780.1"	397361	397361	"+"	6.48114550196892e-09	9.19476446591991e-08	27.6595744680851
"738"	"NC_035780.1"	401494	401494	"+"	1.48783595797108e-37	4.24063106697371e-35	36.4509296305013
"776"	"NC_035780.1"	405162	405162	"+"	9.7472939472203e-27	1.12917741495884e-24	30.0263883149548
"778"	"NC_035780.1"	405226	405226	"+"	6.60458883212443e-52	5.21114587884923e-49	-29.7478952804658
"812"	"NC_035780.1"	405885	405885	"+"	6.72284272859438e-42	2.64015136030322e-39	-33.231188616503
"853"	"NC_035780.1"	417002	417002	"+"	6.43286107188093e-15	2.18393415873714e-13	-42.156862745098
"862"	"NC_035780.1"	545417	545417	"+"	1.1058398064665e-10	2.09187468734812e-09	-30.1217920835146
"909"	"NC_035780.1"	548763	548763	"+"	5.17415536322162e-14	1.56195288639138e-12	26.0096564904692
"912"	"NC_035780.1"	548882	548882	"+"	3.26228813840641e-23	2.74026085879982e-21	34.9888792186442
"922"	"NC_035780.1"	551123	551123	"+"	2.87012366842973e-30	4.54857870757831e-28	-35.726618705036
"926"	"NC_035780.1"	551159	551159	"+"	1.86737752753761e-22	1.45608311040814e-20	25.0531165898733
"951"	"NC_035780.1"	554073	554073	"+"	2.12736647740619e-38	6.42425510347578e-36	-26.4271584740091
"970"	"NC_035780.1"	556089	556089	"+"	3.32876119077424e-23	2.79337703753146e-21	29.1229023300736
"1003"	"NC_035780.1"	559456	559456	"+"	1.97568107526357e-24	1.8491962023736e-22	-31.3484731413982
"1069"	"NC_035780.1"	568686	568686	"+"	6.12956400436508e-19	3.31207350853314e-17	25.6369316209649
"1077"	"NC_035780.1"	568925	568925	"+"	1.07681984776622e-31	1.94846861868474e-29	-29.9817434961205
"1101"	"NC_035780.1"	569776	569776	"+"	1.95747676948074e-24	1.83348356128453e-22	25.37706736937
"1121"	"NC_035780.1"	571094	571094	"+"	4.36348221384546e-24	3.97068016751579e-22	37.7692906670622
"1122"	"NC_035780.1"	571139	571139	"+"	9.537633295453e-30	1.43925512598875e-27	58.2278481012658
"1128"	"NC_035780.1"	574216	574216	"+"	3.33975536020281e-05	0.000214546678716583	-27.5959595959596
"1176"	"NC_035780.1"	577769	577769	"+"	2.27004183480009e-16	9.16938959288802e-15	25.6
"1196"	"NC_035780.1"	579249	579249	"+"	2.99579110338495e-18	1.500784769077e-16	-31.3910969793323
"1368"	"NC_035780.1"	611325	611325	"+"	2.42153141072564e-10	4.32347722767207e-09	-27.6595744680851
"1411"	"NC_035780.1"	619778	619778	"+"	5.80310932295646e-07	5.64111623837411e-06	-25.7186234817814
"1424"	"NC_035780.1"	620089	620089	"+"	2.78633886531358e-24	2.57259916108398e-22	-34.2268091071688
"1462"	"NC_035780.1"	622462	622462	"+"	1.19697750875787e-21	8.60010136886509e-20	28.034756175722
"1562"	"NC_035780.1"	635351	635351	"+"	6.33606523534246e-11	1.24516851605335e-09	-26.6436407964242
"1615"	"NC_035780.1"	663980	663980	"+"	8.62569710082865e-16	3.2465315228648e-14	33.158185840708
"1637"	"NC_035780.1"	666588	666588	"+"	3.57637336058935e-33	7.16931888244337e-31	-29.5920438400649
"1640"	"NC_035780.1"	666632	666632	"+"	3.3064132576361e-44	1.50916026985575e-41	31.7434352670044
"1645"	"NC_035780.1"	666722	666722	"+"	4.96542415636283e-47	2.80577062062441e-44	29.5720256338813
"1654"	"NC_035780.1"	667049	667049	"+"	1.30909443141427e-11	2.84770372002206e-10	-30.399571648484
"1684"	"NC_035780.1"	669793	669793	"+"	6.46693484054498e-11	1.26867134624014e-09	25.0632190048794
"1703"	"NC_035780.1"	740853	740853	"+"	2.60821628420292e-14	8.16501436461554e-13	-46.4064179968572
"1728"	"NC_035780.1"	752703	752703	"+"	3.23813022856508e-12	7.6777127482976e-11	34.8719400028301
"1743"	"NC_035780.1"	757386	757386	"+"	3.26869664737578e-18	1.62975787051231e-16	-28.4039759939985
"1771"	"NC_035780.1"	776670	776670	"+"	2.64676802246168e-06	2.22460738153262e-05	-26.7948717948718
"1795"	"NC_035780.1"	779621	779621	"+"	8.75100040061268e-13	2.24476493839282e-11	-25.7757667169432
"1800"	"NC_035780.1"	780545	780545	"+"	1.55274722745197e-05	0.000108834120202869	26.2249228395062
"1820"	"NC_035780.1"	911865	911865	"+"	8.35298532994727e-10	1.36905494213975e-08	-25.9889841545474
"1848"	"NC_035780.1"	914173	914173	"+"	0.000699544719535867	0.00303108020799811	-25.9259259259259
"1859"	"NC_035780.1"	916046	916046	"+"	7.59230443331186e-08	8.83606102401857e-07	-29.1993464052288
"1863"	"NC_035780.1"	916139	916139	"+"	2.5895322141564e-31	4.55276041719329e-29	31.471663619744
"1901"	"NC_035780.1"	919333	919333	"+"	5.28646483906517e-08	6.33803253122558e-07	-30.1369863013699
"1986"	"NC_035780.1"	943569	943569	"+"	2.31622879703329e-30	3.70479539513061e-28	31.0740301603014
"2004"	"NC_035780.1"	945147	945147	"+"	2.89853607854478e-08	3.64462143705354e-07	29.6732026143791
"2034"	"NC_035780.1"	985414	985414	"+"	1.10849509024454e-10	2.09643787414023e-09	-46.7643700038066
"2039"	"NC_035780.1"	985963	985963	"+"	7.16389803938685e-11	1.39514190441311e-09	-25.5149871182286
"2042"	"NC_035780.1"	986119	986119	"+"	1.41445824850348e-07	1.56228620255328e-06	47.7929501429025
"2073"	"NC_035780.1"	989372	989372	"+"	2.71257853145876e-61	3.9218463775402e-58	47.2781852294047
"2079"	"NC_035780.1"	989931	989931	"+"	1.36373472231691e-10	2.53981089319469e-09	26.1578341013825
"2083"	"NC_035780.1"	990054	990054	"+"	7.26286809771897e-18	3.48589402723501e-16	44.3478260869565
"2087"	"NC_035780.1"	990797	990797	"+"	1.39546071056399e-10	2.59422994809942e-09	-25.7175925925926
"2093"	"NC_035780.1"	990996	990996	"+"	1.28984705014285e-37	3.70488483369086e-35	-46.6018545727626
"2105"	"NC_035780.1"	992695	992695	"+"	2.56767628429737e-17	1.15647416919304e-15	-29.3934724751366
"2109"	"NC_035780.1"	993015	993015	"+"	1.74744210157572e-25	1.80821635075594e-23	-36.5218182553484
"2112"	"NC_035780.1"	993131	993131	"+"	2.24648353670994e-10	4.03740239966682e-09	-42.91719209752
"2147"	"NC_035780.1"	1056870	1056870	"+"	8.56236906711427e-12	1.91589650058769e-10	33.3333333333333
"2155"	"NC_035780.1"	1882345	1882345	"+"	5.02998501993167e-10	8.52098698018411e-09	33.6105557776889
"2157"	"NC_035780.1"	1882692	1882692	"+"	1.54857474241667e-28	2.11264306966616e-26	64.8148148148148
"2176"	"NC_035780.1"	1885023	1885023	"+"	1.56214555549646e-14	5.04719716123383e-13	61.2143987341772
"2182"	"NC_035780.1"	1886229	1886229	"+"	2.74554945669459e-08	3.4653887944584e-07	-25.0439131243413
"2234"	"NC_035780.1"	1925265	1925265	"+"	4.07785681149162e-07	4.09142472393119e-06	-28.2380952380952
"2242"	"NC_035780.1"	1926201	1926201	"+"	2.64647674371381e-45	1.33249703584745e-42	-39.6497459874107
"2252"	"NC_035780.1"	1926449	1926449	"+"	6.36484319543954e-24	5.70166183351666e-22	-36.1997708032975
"2253"	"NC_035780.1"	1926529	1926529	"+"	1.28790688626555e-10	2.40846891071092e-09	-33.2240242381037
"2255"	"NC_035780.1"	1926556	1926556	"+"	8.70151885699403e-06	6.47946370543289e-05	-26.4297385620915
"2282"	"NC_035780.1"	1933500	1933500	"+"	1.26044543179399e-19	7.30900822219151e-18	51.324937688574
"2314"	"NC_035780.1"	1938000	1938000	"+"	3.40074479519722e-36	8.75728066894048e-34	-34.9808026522685
"2316"	"NC_035780.1"	1938018	1938018	"+"	1.77586705571572e-23	1.5253608925398e-21	-28.6596207190442
"2350"	"NC_035780.1"	1945057	1945057	"+"	7.27054023547607e-17	3.10341891396395e-15	25.3269994143294
"2356"	"NC_035780.1"	1945130	1945130	"+"	8.8259740496422e-27	1.02889477181391e-24	-44.2577639751553
"2359"	"NC_035780.1"	1945183	1945183	"+"	7.97582801465911e-18	3.80274523018419e-16	36.278092615151
"2361"	"NC_035780.1"	1945375	1945375	"+"	3.54084328881982e-06	2.89292823687983e-05	35.7891584306679
"2442"	"NC_035780.1"	1950050	1950050	"+"	6.06027535403096e-20	3.62884888431366e-18	-25.0485376210511
"2466"	"NC_035780.1"	1951091	1951091	"+"	2.07837506309041e-20	1.30648474966917e-18	30.1630783717844
"2471"	"NC_035780.1"	1951318	1951318	"+"	2.28665045125496e-24	2.1271785464717e-22	-36.2846878662871
"2478"	"NC_035780.1"	1951720	1951720	"+"	9.39615391900095e-19	4.98709583667723e-17	-40.2071942446043
"2494"	"NC_035780.1"	1956494	1956494	"+"	4.48343452346309e-39	1.41156311936981e-36	28.7264304291287
"2516"	"NC_035780.1"	1957219	1957219	"+"	9.84568091743362e-07	9.11220082966449e-06	28.9915668627312
"2541"	"NC_035780.1"	1957986	1957986	"+"	6.45085256572138e-13	1.68327200627784e-11	28.8090646094503
"2569"	"NC_035780.1"	1958999	1958999	"+"	1.28313154413808e-119	3.68969069444656e-115	50.1707069734689
"2571"	"NC_035780.1"	1959018	1959018	"+"	1.53054592498187e-47	9.23316000966843e-45	31.5151882862112
"2579"	"NC_035780.1"	1963825	1963825	"+"	1.2933552914266e-14	4.21931236761512e-13	30.9389140271493
"2598"	"NC_035780.1"	1968357	1968357	"+"	7.85115570962525e-07	7.41746117636209e-06	30.0863557858376
"2599"	"NC_035780.1"	1968513	1968513	"+"	5.71743324956104e-10	9.60756808428428e-09	-30.0781742529315
"2606"	"NC_035780.1"	1977140	1977140	"+"	9.37271068312943e-15	3.10820202741816e-13	34.9543750442102
"2628"	"NC_035780.1"	1979222	1979222	"+"	1.64038234756673e-27	2.03318024576143e-25	-38.1053959303296
"2629"	"NC_035780.1"	1983195	1983195	"+"	0.000191216334137025	0.000993125435680276	33.6848635235732
"2633"	"NC_035780.1"	1983265	1983265	"+"	3.83251268771652e-25	3.83248636099361e-23	42.5483250683129
"2644"	"NC_035780.1"	1985718	1985718	"+"	1.03910307742328e-08	1.41976679764946e-07	-34.478266831208
"2655"	"NC_035780.1"	1988166	1988166	"+"	7.7175728476549e-12	1.73662649582087e-10	31.0735896935389
"2659"	"NC_035780.1"	1988232	1988232	"+"	1.55758942060677e-10	2.87211523338207e-09	28.5897435897436
"2664"	"NC_035780.1"	1989981	1989981	"+"	3.67225612446221e-42	1.46662555023995e-39	37.7434891576768
"2674"	"NC_035780.1"	1990857	1990857	"+"	4.36959370964289e-09	6.36449281792542e-08	27.5299401197605
"2694"	"NC_035780.1"	2029235	2029235	"+"	4.2362428835833e-13	1.13152247618216e-11	26.8037602820212
"2701"	"NC_035780.1"	2029329	2029329	"+"	2.03463216037611e-15	7.35828935133452e-14	30.2359490986214
"2714"	"NC_035780.1"	2034749	2034749	"+"	8.10759485637657e-10	1.33128046147344e-08	25.2799474893338
"2761"	"NC_035780.1"	2469832	2469832	"+"	0.000621826503772339	0.00274166641748201	-25.2443933294997
"2772"	"NC_035780.1"	2470490	2470490	"+"	1.35667632496605e-33	2.8065980897857e-31	25.6061663178179
"2780"	"NC_035780.1"	2470619	2470619	"+"	1.01034223409676e-29	1.52020217453645e-27	32.905254260753
"2792"	"NC_035780.1"	2471015	2471015	"+"	5.23225960589709e-13	1.38215727693306e-11	25.5101959184327
"2841"	"NC_035780.1"	2477913	2477913	"+"	8.91455065303615e-21	5.83477455972612e-19	43.1036515860226
"2855"	"NC_035780.1"	2483783	2483783	"+"	2.78096226717378e-08	3.50649496132354e-07	27.301024428684
"2896"	"NC_035780.1"	2501380	2501380	"+"	0.00032060658495232	0.00155251778496646	-35.5744680851064
"2897"	"NC_035780.1"	2524410	2524410	"+"	2.57314538483422e-13	7.07979429209453e-12	32.7471356248335
"2908"	"NC_035780.1"	2524719	2524719	"+"	1.92498773845131e-08	2.50330839912958e-07	28.6500165034657
"2982"	"NC_035780.1"	2532491	2532491	"+"	2.00559711792015e-26	2.25475659692332e-24	-37.3981822068569
"2988"	"NC_035780.1"	2532770	2532770	"+"	6.74742522423025e-05	0.000399309792277371	-25.7142857142857
"2993"	"NC_035780.1"	2535872	2535872	"+"	5.26365368208597e-30	8.16191860585564e-28	32.3020938304781
"3020"	"NC_035780.1"	2538885	2538885	"+"	3.86506997783861e-19	2.12917410501167e-17	-49.4464551841601
"3021"	"NC_035780.1"	2538925	2538925	"+"	7.04346175157579e-15	2.37472040072699e-13	-50.2505846976278
"3022"	"NC_035780.1"	2541419	2541419	"+"	1.43522731067956e-09	2.26036601237831e-08	-30.7449494949495
"3025"	"NC_035780.1"	2541727	2541727	"+"	3.59921004770553e-41	1.32500126318781e-38	-54.9736072708992
"3095"	"NC_035780.1"	2562648	2562648	"+"	9.87156275745993e-08	1.12335893597121e-06	-28.4736842105263
"3150"	"NC_035780.1"	2570332	2570332	"+"	2.49547829049063e-34	5.53406465443981e-32	32.6394730945969
"3160"	"NC_035780.1"	2570504	2570504	"+"	2.45643789423138e-29	3.55947234057325e-27	29.3339110867846
"3161"	"NC_035780.1"	2570513	2570513	"+"	9.35498890146686e-24	8.26580572416609e-22	25.3414304664776
"3181"	"NC_035780.1"	2571167	2571167	"+"	2.21227263927674e-34	4.93562263892833e-32	31.8498090959695
"3195"	"NC_035780.1"	2571361	2571361	"+"	1.92246292747744e-21	1.35492916100025e-19	25.6436998891858
"3279"	"NC_035780.1"	2581647	2581647	"+"	4.83059333618387e-07	4.77392968909345e-06	28.3595922150139
"3280"	"NC_035780.1"	2581670	2581670	"+"	8.23432639824198e-09	1.14503736127158e-07	-36.7822417904972
"3316"	"NC_035780.1"	2584493	2584493	"+"	3.12717630109529e-57	3.47342346480226e-54	56.4664786447676
"3325"	"NC_035780.1"	2586041	2586041	"+"	7.63765368789324e-28	9.80461902964173e-26	-42.8754275626172
"3337"	"NC_035780.1"	2586509	2586509	"+"	6.66191639817937e-71	1.55323614454225e-67	-53.8495091547371
"3339"	"NC_035780.1"	2588621	2588621	"+"	0.000106318963511118	0.000595244104817452	26.5060240963855
"3346"	"NC_035780.1"	2588795	2588795	"+"	1.27417519999374e-115	2.9977661505275e-111	-53.3420013393748
"3354"	"NC_035780.1"	2589700	2589700	"+"	5.81439040101944e-31	9.86077260216112e-29	-32.1162500760202
"3355"	"NC_035780.1"	2589721	2589721	"+"	5.40303954824833e-75	1.60723796515291e-71	43.2924303613959
"3405"	"NC_035780.1"	2663384	2663384	"+"	5.08578296885419e-24	4.59885251903397e-22	-25.4324358674752
"3479"	"NC_035780.1"	2689877	2689877	"+"	5.75247905670995e-07	5.59568259066756e-06	-30.977229601518
"3515"	"NC_035780.1"	2698405	2698405	"+"	2.21412583071531e-08	2.8454257064526e-07	-31.651906045437
"3603"	"NC_035780.1"	2711158	2711158	"+"	1.86428366199121e-06	1.62377847218813e-05	-30.4087385482734
"3609"	"NC_035780.1"	2711287	2711287	"+"	1.77916771652116e-12	4.37769007483217e-11	32.5858928459268
"3614"	"NC_035780.1"	2712514	2712514	"+"	6.21913899010798e-06	4.79460846135677e-05	-26.9880123015126
"3717"	"NC_035780.1"	2742283	2742283	"+"	2.03433902184809e-14	6.47740307888266e-13	39.2310768923108
"3725"	"NC_035780.1"	2745877	2745877	"+"	1.39004830466465e-06	1.24590299248537e-05	-33.5227272727273
"3749"	"NC_035780.1"	2750887	2750887	"+"	2.0384328196852e-11	4.32164159788616e-10	-25.0322913975717
"3775"	"NC_035780.1"	2756907	2756907	"+"	2.25443593094984e-56	2.35259681872468e-53	-46.9237839172542
"3776"	"NC_035780.1"	2756910	2756910	"+"	1.5913135455604e-40	5.59550430148334e-38	39.3869731800766
"3801"	"NC_035780.1"	2761481	2761481	"+"	8.46559390897313e-06	6.32325286797946e-05	32.3886639676113
"3881"	"NC_035780.1"	2920051	2920051	"+"	4.91182185840542e-17	2.1425430049344e-15	-27.3738019169329
"3890"	"NC_035780.1"	2923015	2923015	"+"	2.56443637264627e-07	2.68394098141397e-06	-32.2529011604642
"3893"	"NC_035780.1"	2923129	2923129	"+"	9.34017845101107e-07	8.6872293921293e-06	-25.4560530679934
"3955"	"NC_035780.1"	2936342	2936342	"+"	7.11314947733867e-31	1.19614713394164e-28	40.752688172043
"3973"	"NC_035780.1"	2994669	2994669	"+"	3.25363306318342e-26	3.60768831411873e-24	-27.3475165664813
"3978"	"NC_035780.1"	2995931	2995931	"+"	1.77000542049327e-21	1.25088546189884e-19	-31.8910256410256
"4043"	"NC_035780.1"	3210377	3210377	"+"	1.1644976890771e-11	2.55333331962246e-10	32.6351865955826
"4116"	"NC_035780.1"	3593254	3593254	"+"	9.77698618365101e-11	1.86515306134462e-09	-33.5271317829457
"4124"	"NC_035780.1"	3599210	3599210	"+"	2.05612077907199e-25	2.11410569049663e-23	-41.7720530835285
"4127"	"NC_035780.1"	3599228	3599228	"+"	1.90748282207721e-28	2.58999561003678e-26	-36.318795430945
"4136"	"NC_035780.1"	3602114	3602114	"+"	1.08115963093278e-08	1.47318586017921e-07	-27.8620689655172
"4159"	"NC_035780.1"	3778093	3778093	"+"	4.56387435493969e-13	1.21402258146159e-11	-43.0499325236167
"4173"	"NC_035780.1"	3827559	3827559	"+"	4.84242506576688e-06	3.83092653766025e-05	-28.1197704996414
"4174"	"NC_035780.1"	3827564	3827564	"+"	4.62555830152828e-07	4.58759203349721e-06	-28.6852791878173
"4224"	"NC_035780.1"	3923932	3923932	"+"	3.84964620097171e-09	5.66197768240515e-08	-28.8193335462579
"4343"	"NC_035780.1"	4185264	4185264	"+"	5.96795064165059e-05	0.00035834319769127	-25.3348641408343
"4375"	"NC_035780.1"	4257426	4257426	"+"	8.3440945085891e-07	7.83568643592681e-06	-34.6277980218636
"4389"	"NC_035780.1"	4258718	4258718	"+"	6.57837414578451e-08	7.7490738918601e-07	-32.2666666666667
"4420"	"NC_035780.1"	4286283	4286283	"+"	2.5882388546813e-46	1.39839585444259e-43	-42.1264301398359
"4421"	"NC_035780.1"	4286287	4286287	"+"	2.72817082324126e-40	9.35159945660099e-38	37.611551292744
"4426"	"NC_035780.1"	4286803	4286803	"+"	3.85745583569328e-16	1.51395619135299e-14	-62.0490797546012
"4428"	"NC_035780.1"	4287998	4287998	"+"	2.80179155813295e-39	8.9188028816979e-37	-49.046783625731
"4434"	"NC_035780.1"	4288214	4288214	"+"	1.03297953561797e-29	1.54796333184637e-27	-58.168449197861
"4448"	"NC_035780.1"	4289561	4289561	"+"	1.17925811873579e-15	4.38113558239943e-14	-42.7286305927083
"4451"	"NC_035780.1"	4289629	4289629	"+"	2.28939540201561e-25	2.34093820626381e-23	-52.2097927746195
"4473"	"NC_035780.1"	4302231	4302231	"+"	1.79466761309158e-07	1.94170897887919e-06	-25.6779661016949
"4477"	"NC_035780.1"	4306560	4306560	"+"	1.09960571612125e-07	1.24030685354591e-06	-28.3046396264955
"4487"	"NC_035780.1"	4307086	4307086	"+"	9.15338777290822e-12	2.03879893531223e-10	46.2319984217794
"4489"	"NC_035780.1"	4307106	4307106	"+"	7.2701523952436e-05	0.000426509161530053	-28.2137597306964
"4493"	"NC_035780.1"	4307221	4307221	"+"	0.00201320723032791	0.00739552096769039	-25.2688172043011
"4497"	"NC_035780.1"	4352297	4352297	"+"	3.80115294779125e-07	3.83925233299433e-06	-36.4098837209302
"4500"	"NC_035780.1"	4352330	4352330	"+"	2.46369185467823e-07	2.58608425104075e-06	-35.2565989598665
"4503"	"NC_035780.1"	4352353	4352353	"+"	0.000111954524376059	0.000622914709398634	25.7192033439882
"4518"	"NC_035780.1"	4363579	4363579	"+"	3.47514474711517e-05	0.000222240111327049	-26.7023172905526
"4533"	"NC_035780.1"	4516313	4516313	"+"	6.33694154830360e-11	1.24524617086341e-09	43.1420725538373
"4564"	"NC_035780.1"	4624644	4624644	"+"	1.32187138483534e-05	9.42626376065836e-05	40.2894135567403
"4565"	"NC_035780.1"	4624665	4624665	"+"	3.73985899786545e-08	4.61813560458708e-07	42.686170212766
"4583"	"NC_035780.1"	4641621	4641621	"+"	1.89113308852572e-18	9.70497484227794e-17	-45.9391443605582
"4605"	"NC_035780.1"	4653818	4653818	"+"	1.47376019686587e-08	1.96055576709551e-07	-38.4444444444444
