Entry	Entry name	Protein names	Gene ontology (biological process)
Q8PVR7	DNLI1_METMA	DNA ligase 1 (EC 6.5.1.1) (Polydeoxyribonucleotide synthase [ATP] 1)	DNA biosynthetic process [GO:0071897]; DNA ligation involved in DNA repair [GO:0051103]; DNA recombination [GO:0006310]; DNA replication [GO:0006260]; cell cycle [GO:0007049]; cell division [GO:0051301]
P30628	VPP1_CAEEL	Probable V-type proton ATPase 116 kDa subunit a (V-ATPase 116 kDa isoform a) (Uncoordinated protein 32) (Vacuolar proton translocating ATPase 116 kDa subunit a)	"ATP synthesis coupled proton transport [GO:0015986]; defense response to Gram-positive bacterium [GO:0050830]; embryo development ending in birth or egg hatching [GO:0009792]; locomotion [GO:0040011]; negative regulation of locomotion [GO:0040013]; nematode larval development [GO:0002119]; positive regulation of programmed cell death [GO:0043068]; response to hypoxia [GO:0001666]; synaptic transmission, cholinergic [GO:0007271]; vacuolar acidification [GO:0007035]"
Q9ASR1	EF2_ARATH	Elongation factor 2 (EF-2) (Protein LOW EXPRESSION OF OSMOTICALLY RESPONSIVE GENES 1)	cold acclimation [GO:0009631]; response to cold [GO:0009409]; response to cytokinin [GO:0009735]; translational elongation [GO:0006414]
A6QLN9	VWA1_BOVIN	von Willebrand factor A domain-containing protein 1	behavioral response to pain [GO:0048266]; extracellular matrix organization [GO:0030198]; growth plate cartilage chondrocyte morphogenesis [GO:0003429]; translation [GO:0006412]
Q99MT2	MSH4_MOUSE	MutS protein homolog 4 (mMsh4)	female gamete generation [GO:0007292]; meiotic cell cycle [GO:0051321]; mismatch repair [GO:0006298]; ovarian follicle development [GO:0001541]; reciprocal meiotic recombination [GO:0007131]; resolution of meiotic recombination intermediates [GO:0000712]; spermatogenesis [GO:0007283]; synapsis [GO:0007129]
Q9P5N7	TFB1_NEUCR	General transcription and DNA repair factor IIH subunit tcf-29 (TFIIH subunit tcf-29) (RNA polymerase II transcription factor B 73 kDa subunit) (RNA polymerase II transcription factor B p73 subunit) (RNA polymerase II transcription factor B subunit 1) (Transcription factor-29)	nucleotide-excision repair [GO:0006289]; phosphorylation of RNA polymerase II C-terminal domain [GO:0070816]; transcription by RNA polymerase I [GO:0006360]; transcription by RNA polymerase II [GO:0006366]
Q9JLF7	TLR5_MOUSE	Toll-like receptor 5	MyD88-dependent toll-like receptor signaling pathway [GO:0002755]; defense response to bacterium [GO:0042742]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; positive regulation of interleukin-8 production [GO:0032757]; positive regulation of nitric oxide biosynthetic process [GO:0045429]; positive regulation of toll-like receptor signaling pathway [GO:0034123]; regulation of cytokine secretion [GO:0050707]; toll-like receptor 5 signaling pathway [GO:0034146]
P45173	Y1349_HAEIN	Uncharacterized protein HI_1349	cellular iron ion homeostasis [GO:0006879]
Q949X9	LPR2_ARATH	Multicopper oxidase LPR2 (EC 1.-.-.-) (Protein LOW PHOSPHATE ROOT 2)	cellular response to phosphate starvation [GO:0016036]; meristem maintenance [GO:0010073]
A2TF48	MYD88_PIG	Myeloid differentiation primary response protein MyD88	MyD88-dependent toll-like receptor signaling pathway [GO:0002755]; Toll signaling pathway [GO:0008063]; defense response to Gram-positive bacterium [GO:0050830]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]
P08953	TOLL_DROME	Protein toll	Toll signaling pathway [GO:0008063]; antifungal innate immune response [GO:0061760]; cell adhesion [GO:0007155]; defense response to Gram-positive bacterium [GO:0050830]; defense response to oomycetes [GO:0002229]; dorsal/ventral axis specification [GO:0009950]; heart development [GO:0007507]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; larval somatic muscle development [GO:0007526]; negative regulation of cell growth [GO:0030308]; negative regulation of insulin receptor signaling pathway [GO:0046627]; negative regulation of multicellular organism growth [GO:0040015]; positive regulation of antifungal peptide production [GO:0002804]; positive regulation of antimicrobial peptide production [GO:0002225]; positive regulation of hemocyte proliferation [GO:0035208]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of embryonic pattern specification [GO:1902875]; response to wounding [GO:0009611]; synapse assembly [GO:0007416]; synaptic target inhibition [GO:0016201]; toll-like receptor signaling pathway [GO:0002224]
A8MPH9	FOSLD_DROME	"Transcription factor kayak, isoforms D/sro (AP-1) (Fos-related antigen) (Dfos) (dFra)"	"R3/R4 cell fate commitment [GO:0007464]; antimicrobial humoral response [GO:0019730]; collateral sprouting of injured axon [GO:0048674]; compound eye development [GO:0048749]; dendrite morphogenesis [GO:0048813]; dorsal closure [GO:0007391]; embryo development ending in birth or egg hatching [GO:0009792]; establishment of planar polarity [GO:0001736]; germ cell development [GO:0007281]; imaginal disc fusion, thorax closure [GO:0046529]; locomotor rhythm [GO:0045475]; ovarian follicle cell migration [GO:0007297]; positive regulation of border follicle cell migration [GO:1903688]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of cyclin-dependent protein serine/threonine kinase activity involved in G2/M transition of mitotic cell cycle [GO:0031660]; response to wounding [GO:0009611]; second mitotic wave involved in compound eye morphogenesis [GO:0016330]; synaptic growth at neuromuscular junction [GO:0051124]; wing disc development [GO:0035220]; wound healing [GO:0042060]"
Q9KUW2	SSB_VIBCH	Single-stranded DNA-binding protein (SSB)	DNA recombination [GO:0006310]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; positive regulation of helicase activity [GO:0051096]
